rxn_smiles,R,P,rxn_type
[CH2]OC(C)OO>>CC1OCO1.[OH],[CH2]OC(C)OO,CC1OCO1.[OH],cyc_5mem
C[C](C)OCOO>>CC1(C)OCO1.[OH],C[C](C)OCOO,CC1(C)OCO1.[OH],cyc_5mem
[CH2]OC(C)(C)OO>>CC1(C)OCO1.[OH],[CH2]OC(C)(C)OO,CC1(C)OCO1.[OH],cyc_5mem
C[CH]OC(C)OO>>CC1OC(C)O1.[OH],C[CH]OC(C)OO,CC1OC(C)O1.[OH],cyc_5mem
C[C](C)OC(C)OO>>CC1OC(C)(C)O1.[OH],C[C](C)OC(C)OO,CC1OC(C)(C)O1.[OH],cyc_5mem
C[CH]OC(C)(C)OO>>CC1OC(C)(C)O1.[OH],C[CH]OC(C)(C)OO,CC1OC(C)(C)O1.[OH],cyc_5mem
C[C](C)OC(C)(C)OO>>CC1(C)OC(C)(C)O1.[OH],C[C](C)OC(C)(C)OO,CC1(C)OC(C)(C)O1.[OH],cyc_5mem
CO[CH]CCOO>>COC1CCO1.[OH],CO[CH]CCOO,COC1CCO1.[OH],cyc_5mem
CO[C](C)CCOO>>COC1(C)CCO1.[OH],CO[C](C)CCOO,COC1(C)CCO1.[OH],cyc_5mem
CO[CH]CC(C)OO>>COC1CC(C)O1.[OH],CO[CH]CC(C)OO,COC1CC(C)O1.[OH],cyc_5mem
CO[C](C)CC(C)OO>>COC1(C)CC(C)O1.[OH],CO[C](C)CC(C)OO,COC1(C)CC(C)O1.[OH],cyc_5mem
CO[CH]CC(C)(C)OO>>COC1CC(C)(C)O1.[OH],CO[CH]CC(C)(C)OO,COC1CC(C)(C)O1.[OH],cyc_5mem
CO[C](C)CC(C)(C)OO>>COC1(C)CC(C)(C)O1.[OH],CO[C](C)CC(C)(C)OO,COC1(C)CC(C)(C)O1.[OH],cyc_5mem
[CH2]CC(OC)OO>>COC1CCO1.[OH],[CH2]CC(OC)OO,COC1CCO1.[OH],cyc_5mem
C[CH]CC(OC)OO>>COC1CC(C)O1.[OH],C[CH]CC(OC)OO,COC1CC(C)O1.[OH],cyc_5mem
[CH2]C[C@](C)(OC)OO>>CO[C@@]1(C)CCO1.[OH],[CH2]C[C@](C)(OC)OO,CO[C@@]1(C)CCO1.[OH],cyc_5mem
C[CH]CC(C)(OC)OO>>COC1(C)CC(C)O1.[OH],C[CH]CC(C)(OC)OO,COC1(C)CC(C)O1.[OH],cyc_5mem
COC(C[C](C)C)OO>>COC1CC(C)(C)O1.[OH],COC(C[C](C)C)OO,COC1CC(C)(C)O1.[OH],cyc_5mem
COC(C)(C[C](C)C)OO>>COC1(C)CC(C)(C)O1.[OH],COC(C)(C[C](C)C)OO,COC1(C)CC(C)(C)O1.[OH],cyc_5mem
[CH2]COCOO>>C1COCO1.[OH],[CH2]COCOO,C1COCO1.[OH],cyc_5mem
[CH2]COC(C)OO>>CC1OCCO1.[OH],[CH2]COC(C)OO,CC1OCCO1.[OH],cyc_5mem
C[CH]COCOO>>CC1COCO1.[OH],C[CH]COCOO,CC1COCO1.[OH],cyc_5mem
C[CH]COC(C)OO>>CC1COC(C)O1.[OH],C[CH]COC(C)OO,CC1COC(C)O1.[OH],cyc_5mem
C[C](C)COCOO>>CC1(C)COCO1.[OH],C[C](C)COCOO,CC1(C)COCO1.[OH],cyc_5mem
[CH2]COC(C)(C)OO>>CC1(C)OCCO1.[OH],[CH2]COC(C)(C)OO,CC1(C)OCCO1.[OH],cyc_5mem
C[CH]COC(C)(C)OO>>CC1COC(C)(C)O1.[OH],C[CH]COC(C)(C)OO,CC1COC(C)(C)O1.[OH],cyc_5mem
C[C](C)COC(C)OO>>CC1OCC(C)(C)O1.[OH],C[C](C)COC(C)OO,CC1OCC(C)(C)O1.[OH],cyc_5mem
C[C](C)COC(C)(C)OO>>CC1(C)COC(C)(C)O1.[OH],C[C](C)COC(C)(C)OO,CC1(C)COC(C)(C)O1.[OH],cyc_5mem
