rxn_smiles,R,P,rxn_type
CO[CH]CCOO>>C=COC.[CH2]OO,CO[CH]CCOO,C=COC.[CH2]OO,beta_scis
CO[C](C)CCOO>>CC(=O)CCOO.[CH3],CO[C](C)CCOO,CC(=O)CCOO.[CH3],beta_scis
CO[C](C)CCOO>>C=C(C)OC.[CH2]OO,CO[C](C)CCOO,C=C(C)OC.[CH2]OO,beta_scis
CO[CH]CC(C)OO>>C=COC.C[CH]OO,CO[CH]CC(C)OO,C=COC.C[CH]OO,beta_scis
CO[CH]CC(C)OO>>CC(CC=O)OO.[CH3],CO[CH]CC(C)OO,CC(CC=O)OO.[CH3],beta_scis
CO[C](C)CC(C)OO>>CC(=O)CC(C)OO.[CH3],CO[C](C)CC(C)OO,CC(=O)CC(C)OO.[CH3],beta_scis
CO[C](C)CC(C)OO>>C=C(C)OC.C[CH]OO,CO[C](C)CC(C)OO,C=C(C)OC.C[CH]OO,beta_scis
CO[CH]CC(C)(C)OO>>C=COC.C[C](C)OO,CO[CH]CC(C)(C)OO,C=COC.C[C](C)OO,beta_scis
CO[CH]CC(C)(C)OO>>CC(C)(CC=O)OO.[CH3],CO[CH]CC(C)(C)OO,CC(C)(CC=O)OO.[CH3],beta_scis
CO[C](C)CC(C)(C)OO>>CC(=O)CC(C)(C)OO.[CH3],CO[C](C)CC(C)(C)OO,CC(=O)CC(C)(C)OO.[CH3],beta_scis
CO[C](C)CC(C)(C)OO>>C=C(C)OC.C[C](C)OO,CO[C](C)CC(C)(C)OO,C=C(C)OC.C[C](C)OO,beta_scis
[CH2]CC(OC)OO>>C=C.CO[CH]OO,[CH2]CC(OC)OO,C=C.CO[CH]OO,beta_scis
C[CH]CC(OC)OO>>C=CC.CO[CH]OO,C[CH]CC(OC)OO,C=CC.CO[CH]OO,beta_scis
[CH2]C[C@](C)(OC)OO>>C=C.CO[C@@H](C)OO,[CH2]C[C@](C)(OC)OO,C=C.CO[C@@H](C)OO,beta_scis
C[CH]CC(C)(OC)OO>>C=CC.CO[C](C)OO,C[CH]CC(C)(OC)OO,C=CC.CO[C](C)OO,beta_scis
COC(C[C](C)C)OO>>C=C(C)C.CO[CH]OO,COC(C[C](C)C)OO,C=C(C)C.CO[CH]OO,beta_scis
COC(C)(C[C](C)C)OO>>C=C(C)C.CO[C](C)OO,COC(C)(C[C](C)C)OO,C=C(C)C.CO[C](C)OO,beta_scis
[CH2]COCOO>>C=C.[O]COO,[CH2]COCOO,C=C.[O]COO,beta_scis
[CH2]COC(C)OO>>C=C.CC([O])OO,[CH2]COC(C)OO,C=C.CC([O])OO,beta_scis
C[CH]COCOO>>C=CC.[O]COO,C[CH]COCOO,C=CC.[O]COO,beta_scis
C[CH]COC(C)OO>>C=CC.CC([O])OO,C[CH]COC(C)OO,C=CC.CC([O])OO,beta_scis
C[C](C)COCOO>>C=C(C)C.[O]COO,C[C](C)COCOO,C=C(C)C.[O]COO,beta_scis
[CH2]COC(C)(C)OO>>C=C.CC(C)([O])OO,[CH2]COC(C)(C)OO,C=C.CC(C)([O])OO,beta_scis
C[CH]COC(C)(C)OO>>C=CC.CC(C)([O])OO,C[CH]COC(C)(C)OO,C=CC.CC(C)([O])OO,beta_scis
C[C](C)COC(C)OO>>C=C(C)C.CC([O])OO,C[C](C)COC(C)OO,C=C(C)C.CC([O])OO,beta_scis
C[C](C)COC(C)(C)OO>>C=C(C)C.CC(C)([O])OO,C[C](C)COC(C)(C)OO,C=C(C)C.CC(C)([O])OO,beta_scis
[CH2]OCCOO>>C=O.[CH2]COO,[CH2]OCCOO,C=O.[CH2]COO,beta_scis
[CH2]OCC(C)OO>>C=O.[CH2]C(C)OO,[CH2]OCC(C)OO,C=O.[CH2]C(C)OO,beta_scis
C[CH]OCCOO>>CC=O.[CH2]COO,C[CH]OCCOO,CC=O.[CH2]COO,beta_scis
C[CH]OCC(C)OO>>CC=O.[CH2]C(C)OO,C[CH]OCC(C)OO,CC=O.[CH2]C(C)OO,beta_scis
C[C](C)OCCOO>>CC(C)=O.[CH2]COO,C[C](C)OCCOO,CC(C)=O.[CH2]COO,beta_scis
[CH2]OCC(C)(C)OO>>C=O.[CH2]C(C)(C)OO,[CH2]OCC(C)(C)OO,C=O.[CH2]C(C)(C)OO,beta_scis
C[CH]OCC(C)(C)OO>>CC=O.[CH2]C(C)(C)OO,C[CH]OCC(C)(C)OO,CC=O.[CH2]C(C)(C)OO,beta_scis
C[C](C)OCC(C)OO>>CC(C)=O.[CH2]C(C)OO,C[C](C)OCC(C)OO,CC(C)=O.[CH2]C(C)OO,beta_scis
C[C](C)OCC(C)(C)OO>>CC(C)=O.[CH2]C(C)(C)OO,C[C](C)OCC(C)(C)OO,CC(C)=O.[CH2]C(C)(C)OO,beta_scis
CO[CH]CCCOO>>O=CCCCOO.[CH3],CO[CH]CCCOO,O=CCCCOO.[CH3],beta_scis
CO[CH]CCCOO>>C=COC.[CH2]COO,CO[CH]CCCOO,C=COC.[CH2]COO,beta_scis
CO[CH]CCC(C)OO>>C=COC.[CH2]C(C)OO,CO[CH]CCC(C)OO,C=COC.[CH2]C(C)OO,beta_scis
CO[CH]CCC(C)OO>>CC(CCC=O)OO.[CH3],CO[CH]CCC(C)OO,CC(CCC=O)OO.[CH3],beta_scis
CO[C](C)CCCOO>>C=C(C)OC.[CH2]COO,CO[C](C)CCCOO,C=C(C)OC.[CH2]COO,beta_scis
CO[C](C)CCCOO>>CC(=O)CCCOO.[CH3],CO[C](C)CCCOO,CC(=O)CCCOO.[CH3],beta_scis
CO[C](C)CCC(C)OO>>CC(=O)CCC(C)OO.[CH3],CO[C](C)CCC(C)OO,CC(=O)CCC(C)OO.[CH3],beta_scis
CO[C](C)CCC(C)OO>>C=C(C)OC.[CH2]C(C)OO,CO[C](C)CCC(C)OO,C=C(C)OC.[CH2]C(C)OO,beta_scis
CO[CH]CCC(C)(C)OO>>CC(C)(CCC=O)OO.[CH3],CO[CH]CCC(C)(C)OO,CC(C)(CCC=O)OO.[CH3],beta_scis
CO[CH]CCC(C)(C)OO>>C=COC.[CH2]C(C)(C)OO,CO[CH]CCC(C)(C)OO,C=COC.[CH2]C(C)(C)OO,beta_scis
CO[C](C)CCC(C)(C)OO>>C=C(C)OC.[CH2]C(C)(C)OO,CO[C](C)CCC(C)(C)OO,C=C(C)OC.[CH2]C(C)(C)OO,beta_scis
CO[C](C)CCC(C)(C)OO>>CC(=O)CCC(C)(C)OO.[CH3],CO[C](C)CCC(C)(C)OO,CC(=O)CCC(C)(C)OO.[CH3],beta_scis
[CH2]CCC(OC)OO>>C=C.[CH2]C(OC)OO,[CH2]CCC(OC)OO,C=C.[CH2]C(OC)OO,beta_scis
C[CH]CCC(OC)OO>>C=CC.[CH2]C(OC)OO,C[CH]CCC(OC)OO,C=CC.[CH2]C(OC)OO,beta_scis
[CH2]CCC(C)(OC)OO>>C=C.[CH2]C(C)(OC)OO,[CH2]CCC(C)(OC)OO,C=C.[CH2]C(C)(OC)OO,beta_scis
C[CH]CCC(C)(OC)OO>>C=CC.[CH2]C(C)(OC)OO,C[CH]CCC(C)(OC)OO,C=CC.[CH2]C(C)(OC)OO,beta_scis
COC(CC[C](C)C)OO>>C=C(C)C.[CH2]C(OC)OO,COC(CC[C](C)C)OO,C=C(C)C.[CH2]C(OC)OO,beta_scis
COC(C)(CC[C](C)C)OO>>C=C(C)C.[CH2]C(C)(OC)OO,COC(C)(CC[C](C)C)OO,C=C(C)C.[CH2]C(C)(OC)OO,beta_scis
[CH2]CCOCOO>>C=C.[CH2]OCOO,[CH2]CCOCOO,C=C.[CH2]OCOO,beta_scis
[CH2]CCOC(C)OO>>C=C.[CH2]OC(C)OO,[CH2]CCOC(C)OO,C=C.[CH2]OC(C)OO,beta_scis
C[CH]CCOCOO>>C=CC.[CH2]OCOO,C[CH]CCOCOO,C=CC.[CH2]OCOO,beta_scis
C[CH]CCOC(C)OO>>C=CC.[CH2]OC(C)OO,C[CH]CCOC(C)OO,C=CC.[CH2]OC(C)OO,beta_scis
C[C](C)CCOCOO>>C=C(C)C.[CH2]OCOO,C[C](C)CCOCOO,C=C(C)C.[CH2]OCOO,beta_scis
[CH2]CCOC(C)(C)OO>>C=C.[CH2]OC(C)(C)OO,[CH2]CCOC(C)(C)OO,C=C.[CH2]OC(C)(C)OO,beta_scis
C[CH]CCOC(C)(C)OO>>C=CC.[CH2]OC(C)(C)OO,C[CH]CCOC(C)(C)OO,C=CC.[CH2]OC(C)(C)OO,beta_scis
C[C](C)CCOC(C)OO>>C=C(C)C.[CH2]OC(C)OO,C[C](C)CCOC(C)OO,C=C(C)C.[CH2]OC(C)OO,beta_scis
C[C](C)CCOC(C)(C)OO>>C=C(C)C.[CH2]OC(C)(C)OO,C[C](C)CCOC(C)(C)OO,C=C(C)C.[CH2]OC(C)(C)OO,beta_scis
[CH2]COCCOO>>C=C.[O]CCOO,[CH2]COCCOO,C=C.[O]CCOO,beta_scis
[CH2]COCC(C)OO>>C=C.CC(C[O])OO,[CH2]COCC(C)OO,C=C.CC(C[O])OO,beta_scis
C[CH]COCCOO>>C=CC.[O]CCOO,C[CH]COCCOO,C=CC.[O]CCOO,beta_scis
C[CH]COCC(C)OO>>C=CC.CC(C[O])OO,C[CH]COCC(C)OO,C=CC.CC(C[O])OO,beta_scis
C[C](C)COCCOO>>C=C(C)C.[O]CCOO,C[C](C)COCCOO,C=C(C)C.[O]CCOO,beta_scis
[CH2]COCC(C)(C)OO>>C=C.CC(C)(C[O])OO,[CH2]COCC(C)(C)OO,C=C.CC(C)(C[O])OO,beta_scis
C[CH]COCC(C)(C)OO>>C=CC.CC(C)(C[O])OO,C[CH]COCC(C)(C)OO,C=CC.CC(C)(C[O])OO,beta_scis
C[C](C)COCC(C)OO>>C=C(C)C.CC(C[O])OO,C[C](C)COCC(C)OO,C=C(C)C.CC(C[O])OO,beta_scis
C[C](C)COCC(C)(C)OO>>C=C(C)C.CC(C)(C[O])OO,C[C](C)COCC(C)(C)OO,C=C(C)C.CC(C)(C[O])OO,beta_scis
[CH2]OCCCOO>>C=O.[CH2]CCOO,[CH2]OCCCOO,C=O.[CH2]CCOO,beta_scis
[CH2]OCCC(C)OO>>C=O.[CH2]CC(C)OO,[CH2]OCCC(C)OO,C=O.[CH2]CC(C)OO,beta_scis
C[CH]OCCCOO>>CC=O.[CH2]CCOO,C[CH]OCCCOO,CC=O.[CH2]CCOO,beta_scis
C[CH]OCCC(C)OO>>CC=O.[CH2]CC(C)OO,C[CH]OCCC(C)OO,CC=O.[CH2]CC(C)OO,beta_scis
C[C](C)OCCCOO>>CC(C)=O.[CH2]CCOO,C[C](C)OCCCOO,CC(C)=O.[CH2]CCOO,beta_scis
[CH2]OCCC(C)(C)OO>>C=O.[CH2]CC(C)(C)OO,[CH2]OCCC(C)(C)OO,C=O.[CH2]CC(C)(C)OO,beta_scis
C[CH]OCCC(C)(C)OO>>CC=O.[CH2]CC(C)(C)OO,C[CH]OCCC(C)(C)OO,CC=O.[CH2]CC(C)(C)OO,beta_scis
C[C](C)OCCC(C)OO>>CC(C)=O.[CH2]CC(C)OO,C[C](C)OCCC(C)OO,CC(C)=O.[CH2]CC(C)OO,beta_scis
C[C](C)OCCC(C)(C)OO>>CC(C)=O.[CH2]CC(C)(C)OO,C[C](C)OCCC(C)(C)OO,CC(C)=O.[CH2]CC(C)(C)OO,beta_scis
CO[CH]CCCCOO>>C=COC.[CH2]CCOO,CO[CH]CCCCOO,C=COC.[CH2]CCOO,beta_scis
CO[CH]CCCCOO>>O=CCCCCOO.[CH3],CO[CH]CCCCOO,O=CCCCCOO.[CH3],beta_scis
CO[CH]CCCC(C)OO>>C=COC.[CH2]CC(C)OO,CO[CH]CCCC(C)OO,C=COC.[CH2]CC(C)OO,beta_scis
CO[CH]CCCC(C)OO>>CC(CCCC=O)OO.[CH3],CO[CH]CCCC(C)OO,CC(CCCC=O)OO.[CH3],beta_scis
CO[C](C)CCCCOO>>CC(=O)CCCCOO.[CH3],CO[C](C)CCCCOO,CC(=O)CCCCOO.[CH3],beta_scis
CO[C](C)CCCCOO>>C=C(C)OC.[CH2]CCOO,CO[C](C)CCCCOO,C=C(C)OC.[CH2]CCOO,beta_scis
CO[C](C)CCCC(C)OO>>C=C(C)OC.[CH2]CC(C)OO,CO[C](C)CCCC(C)OO,C=C(C)OC.[CH2]CC(C)OO,beta_scis
CO[C](C)CCCC(C)OO>>CC(=O)CCCC(C)OO.[CH3],CO[C](C)CCCC(C)OO,CC(=O)CCCC(C)OO.[CH3],beta_scis
CO[CH]CCCC(C)(C)OO>>CC(C)(CCCC=O)OO.[CH3],CO[CH]CCCC(C)(C)OO,CC(C)(CCCC=O)OO.[CH3],beta_scis
CO[CH]CCCC(C)(C)OO>>C=COC.[CH2]CC(C)(C)OO,CO[CH]CCCC(C)(C)OO,C=COC.[CH2]CC(C)(C)OO,beta_scis
CO[C](C)CCCC(C)(C)OO>>CC(=O)CCCC(C)(C)OO.[CH3],CO[C](C)CCCC(C)(C)OO,CC(=O)CCCC(C)(C)OO.[CH3],beta_scis
CO[C](C)CCCC(C)(C)OO>>C=C(C)OC.[CH2]CC(C)(C)OO,CO[C](C)CCCC(C)(C)OO,C=C(C)OC.[CH2]CC(C)(C)OO,beta_scis
[CH2]CCCC(OC)OO>>C=C.[CH2]CC(OC)OO,[CH2]CCCC(OC)OO,C=C.[CH2]CC(OC)OO,beta_scis
C[CH]CCCC(OC)OO>>C=CC.[CH2]CC(OC)OO,C[CH]CCCC(OC)OO,C=CC.[CH2]CC(OC)OO,beta_scis
[CH2]CCCC(C)(OC)OO>>C=C.[CH2]CC(C)(OC)OO,[CH2]CCCC(C)(OC)OO,C=C.[CH2]CC(C)(OC)OO,beta_scis
C[CH]CCCC(C)(OC)OO>>C=CC.[CH2]CC(C)(OC)OO,C[CH]CCCC(C)(OC)OO,C=CC.[CH2]CC(C)(OC)OO,beta_scis
COC(C)(CCC[C](C)C)OO>>C=C(C)C.[CH2]CC(C)(OC)OO,COC(C)(CCC[C](C)C)OO,C=C(C)C.[CH2]CC(C)(OC)OO,beta_scis
COC(CCC[C](C)C)OO>>C=C(C)C.[CH2]CC(OC)OO,COC(CCC[C](C)C)OO,C=C(C)C.[CH2]CC(OC)OO,beta_scis
[O]OC(OC)C>>C=COC.[O]O,[O]OC(OC)C,C=COC.[O]O,olefin_formation
[O]OCCOC>>C=COC.[O]O,[O]OCCOC,C=COC.[O]O,olefin_formation
[O]OC(C)(OC)C>>C=C(C)OC.[O]O,[O]OC(C)(OC)C,C=C(C)OC.[O]O,olefin_formation
[O]OCC(C)OC>>C=C(C)OC.[O]O,[O]OCC(C)OC,C=C(C)OC.[O]O,olefin_formation
[O]OC(CC)OC>>CC=COC.[O]O,[O]OC(CC)OC,CC=COC.[O]O,olefin_formation
[O]OC(C)COC>>CC=COC.[O]O,[O]OC(C)COC,CC=COC.[O]O,olefin_formation
[O]OC(C)COC>>C=CCOC.[O]O,[O]OC(C)COC,C=CCOC.[O]O,olefin_formation
[O]OC(OC)(C)CC>>CC=C(C)OC.[O]O,[O]OC(OC)(C)CC,CC=C(C)OC.[O]O,olefin_formation
[O]OC(OC)(C)CC>>C=C(CC)OC.[O]O,[O]OC(OC)(C)CC,C=C(CC)OC.[O]O,olefin_formation
[O]OC(OC)C(C)C>>COC=C(C)C.[O]O,[O]OC(OC)C(C)C,COC=C(C)C.[O]O,olefin_formation
[O]OC(C)C(C)OC>>CC=C(C)OC.[O]O,[O]OC(C)C(C)OC,CC=C(C)OC.[O]O,olefin_formation
[O]OC(C)C(C)OC>>C=CC(C)OC.[O]O,[O]OC(C)C(C)OC,C=CC(C)OC.[O]O,olefin_formation
[O]OC(C)(C)COC>>C=C(C)COC.[O]O,[O]OC(C)(C)COC,C=C(C)COC.[O]O,olefin_formation
[O]OC(C)(C)COC>>COC=C(C)C.[O]O,[O]OC(C)(C)COC,COC=C(C)C.[O]O,olefin_formation
[O]OC(C)(OC)C(C)C>>COC(C)=C(C)C.[O]O,[O]OC(C)(OC)C(C)C,COC(C)=C(C)C.[O]O,olefin_formation
[O]OC(C)(OC)C(C)C>>C=C(OC)C(C)C.[O]O,[O]OC(C)(OC)C(C)C,C=C(OC)C(C)C.[O]O,olefin_formation
[O]OC(C)(C)C(C)OC>>C=C(C)C(C)OC.[O]O,[O]OC(C)(C)C(C)OC,C=C(C)C(C)OC.[O]O,olefin_formation
[O]OC(C)(C)C(C)OC>>COC(C)=C(C)C.[O]O,[O]OC(C)(C)C(C)OC,COC(C)=C(C)C.[O]O,olefin_formation
COC(C)O[O]>>C=COC.[O]O,COC(C)O[O],C=COC.[O]O,olefin_formation
COC(C)(C)O[O]>>C=C(C)OC.[O]O,COC(C)(C)O[O],C=C(C)OC.[O]O,olefin_formation
CC(O[O])OCC>>C=COCC.[O]O,CC(O[O])OCC,C=COCC.[O]O,olefin_formation
CC(C)OC(C)O[O]>>C=COC(C)C.[O]O,CC(C)OC(C)O[O],C=COC(C)C.[O]O,olefin_formation
CCOC(C)(C)O[O]>>C=C(C)OCC.[O]O,CCOC(C)(C)O[O],C=C(C)OCC.[O]O,olefin_formation
CC(C)OC(C)(C)O[O]>>C=C(C)OC(C)C.[O]O,CC(C)OC(C)(C)O[O],C=C(C)OC(C)C.[O]O,olefin_formation
COCCCO[O]>>C=CCOC.[O]O,COCCCO[O],C=CCOC.[O]O,olefin_formation
COC(C)CCO[O]>>C=CC(C)OC.[O]O,COC(C)CCO[O],C=CC(C)OC.[O]O,olefin_formation
COCCC(C)O[O]>>CC=CCOC.[O]O,COCCC(C)O[O],CC=CCOC.[O]O,olefin_formation
COCCC(C)O[O]>>C=CCCOC.[O]O,COCCC(C)O[O],C=CCCOC.[O]O,olefin_formation
COC(C)CC(C)O[O]>>C=CCC(C)OC.[O]O,COC(C)CC(C)O[O],C=CCC(C)OC.[O]O,olefin_formation
COC(C)CC(C)O[O]>>CC=CC(C)OC.[O]O,COC(C)CC(C)O[O],CC=CC(C)OC.[O]O,olefin_formation
COCCC(C)(C)O[O]>>C=C(C)CCOC.[O]O,COCCC(C)(C)O[O],C=C(C)CCOC.[O]O,olefin_formation
COCCC(C)(C)O[O]>>COCC=C(C)C.[O]O,COCCC(C)(C)O[O],COCC=C(C)C.[O]O,olefin_formation
COC(C)CC(C)(O[O])C>>C=C(C)CC(C)OC.[O]O,COC(C)CC(C)(O[O])C,C=C(C)CC(C)OC.[O]O,olefin_formation
COC(C)CC(C)(O[O])C>>COC(C)C=C(C)C.[O]O,COC(C)CC(C)(O[O])C,COC(C)C=C(C)C.[O]O,olefin_formation
CCC(OC)O[O]>>CC=COC.[O]O,CCC(OC)O[O],CC=COC.[O]O,olefin_formation
COC(O[O])CCC>>CCC=COC.[O]O,COC(O[O])CCC,CCC=COC.[O]O,olefin_formation
CC[C@@](OC)(C)O[O]>>CC=C(C)OC.[O]O,CC[C@@](OC)(C)O[O],CC=C(C)OC.[O]O,olefin_formation
CC[C@@](OC)(C)O[O]>>C=C(CC)OC.[O]O,CC[C@@](OC)(C)O[O],C=C(CC)OC.[O]O,olefin_formation
COC(C)(O[O])CCC>>CCC=C(C)OC.[O]O,COC(C)(O[O])CCC,CCC=C(C)OC.[O]O,olefin_formation
COC(C)(O[O])CCC>>C=C(CCC)OC.[O]O,COC(C)(O[O])CCC,C=C(CCC)OC.[O]O,olefin_formation
COC(O[O])CC(C)C>>COC=CC(C)C.[O]O,COC(O[O])CC(C)C,COC=CC(C)C.[O]O,olefin_formation
COC(C)(O[O])CC(C)C>>COC(C)=CC(C)C.[O]O,COC(C)(O[O])CC(C)C,COC(C)=CC(C)C.[O]O,olefin_formation
COC(C)(O[O])CC(C)C>>C=C(CC(C)C)OC.[O]O,COC(C)(O[O])CC(C)C,C=C(CC(C)C)OC.[O]O,olefin_formation
[O]OC(C)OCC>>C=COCC.[O]O,[O]OC(C)OCC,C=COCC.[O]O,olefin_formation
[O]OC(C)OCCC>>C=COCCC.[O]O,[O]OC(C)OCCC,C=COCCC.[O]O,olefin_formation
[O]OC(C)(C)OCC>>C=C(C)OCC.[O]O,[O]OC(C)(C)OCC,C=C(C)OCC.[O]O,olefin_formation
[O]OC(C)(C)OCCC>>C=C(C)OCCC.[O]O,[O]OC(C)(C)OCCC,C=C(C)OCCC.[O]O,olefin_formation
[O]OC(C)OCC(C)C>>C=COCC(C)C.[O]O,[O]OC(C)OCC(C)C,C=COCC(C)C.[O]O,olefin_formation
[O]OC(C)(C)OCC(C)C>>C=C(C)OCC(C)C.[O]O,[O]OC(C)(C)OCC(C)C,C=C(C)OCC(C)C.[O]O,olefin_formation
[O]OCCOCC>>C=COCC.[O]O,[O]OCCOCC,C=COCC.[O]O,olefin_formation
[O]OC(C)COCC>>C=CCOCC.[O]O,[O]OC(C)COCC,C=CCOCC.[O]O,olefin_formation
[O]OC(C)COCC>>CC=COCC.[O]O,[O]OC(C)COCC,CC=COCC.[O]O,olefin_formation
[O]OCCOC(C)C>>C=COC(C)C.[O]O,[O]OCCOC(C)C,C=COC(C)C.[O]O,olefin_formation
[O]OC(C)(C)COCC>>C=C(C)COCC.[O]O,[O]OC(C)(C)COCC,C=C(C)COCC.[O]O,olefin_formation
[O]OC(C)(C)COCC>>CCOC=C(C)C.[O]O,[O]OC(C)(C)COCC,CCOC=C(C)C.[O]O,olefin_formation
[O]OC(C)COC(C)C>>CC=COC(C)C.[O]O,[O]OC(C)COC(C)C,CC=COC(C)C.[O]O,olefin_formation
[O]OC(C)COC(C)C>>C=CCOC(C)C.[O]O,[O]OC(C)COC(C)C,C=CCOC(C)C.[O]O,olefin_formation
[O]OC(C)(C)COC(C)C>>C=C(C)COC(C)C.[O]O,[O]OC(C)(C)COC(C)C,C=C(C)COC(C)C.[O]O,olefin_formation
[O]OC(C)(C)COC(C)C>>CC(C)=COC(C)C.[O]O,[O]OC(C)(C)COC(C)C,CC(C)=COC(C)C.[O]O,olefin_formation
[O]OCCCCOC>>C=CCCOC.[O]O,[O]OCCCCOC,C=CCCOC.[O]O,olefin_formation
[O]OC(C)CCCOC>>CC=CCCOC.[O]O,[O]OC(C)CCCOC,CC=CCCOC.[O]O,olefin_formation
[O]OC(C)CCCOC>>C=CCCCOC.[O]O,[O]OC(C)CCCOC,C=CCCCOC.[O]O,olefin_formation
[O]OCCCC(C)OC>>C=CCC(C)OC.[O]O,[O]OCCCC(C)OC,C=CCC(C)OC.[O]O,olefin_formation
[O]OC(C)CCC(C)OC>>C=CCCC(C)OC.[O]O,[O]OC(C)CCC(C)OC,C=CCCC(C)OC.[O]O,olefin_formation
[O]OC(C)CCC(C)OC>>CC=CCC(C)OC.[O]O,[O]OC(C)CCC(C)OC,CC=CCC(C)OC.[O]O,olefin_formation
[O]OC(C)(C)CCCOC>>C=C(C)CCCOC.[O]O,[O]OC(C)(C)CCCOC,C=C(C)CCCOC.[O]O,olefin_formation
[O]OC(C)(C)CCCOC>>COCCC=C(C)C.[O]O,[O]OC(C)(C)CCCOC,COCCC=C(C)C.[O]O,olefin_formation
[O]OC(C)(C)CCC(C)OC>>COC(C)CC=C(C)C.[O]O,[O]OC(C)(C)CCC(C)OC,COC(C)CC=C(C)C.[O]O,olefin_formation
[O]OC(C)(C)CCC(C)OC>>C=C(C)CCC(C)OC.[O]O,[O]OC(C)(C)CCC(C)OC,C=C(C)CCC(C)OC.[O]O,olefin_formation
[O]OC(OC)CCC>>CCC=COC.[O]O,[O]OC(OC)CCC,CCC=COC.[O]O,olefin_formation
[O]OC(OC)CCCC>>CCCC=COC.[O]O,[O]OC(OC)CCCC,CCCC=COC.[O]O,olefin_formation
[O]OC(OC)(C)CCC>>CCC=C(C)OC.[O]O,[O]OC(OC)(C)CCC,CCC=C(C)OC.[O]O,olefin_formation
[O]OC(OC)(C)CCC>>C=C(CCC)OC.[O]O,[O]OC(OC)(C)CCC,C=C(CCC)OC.[O]O,olefin_formation
[O]OC(OC)(C)CCCC>>C=C(CCCC)OC.[O]O,[O]OC(OC)(C)CCCC,C=C(CCCC)OC.[O]O,olefin_formation
[O]OC(OC)(C)CCCC>>CCCC=C(C)OC.[O]O,[O]OC(OC)(C)CCCC,CCCC=C(C)OC.[O]O,olefin_formation
[O]OC(OC)CCC(C)C>>COC=CCC(C)C.[O]O,[O]OC(OC)CCC(C)C,COC=CCC(C)C.[O]O,olefin_formation
[O]OC(OC)(C)CCC(C)C>>COC(C)=CCC(C)C.[O]O,[O]OC(OC)(C)CCC(C)C,COC(C)=CCC(C)C.[O]O,olefin_formation
[O]OC(OC)(C)CCC(C)C>>C=C(CCC(C)C)OC.[O]O,[O]OC(OC)(C)CCC(C)C,C=C(CCC(C)C)OC.[O]O,olefin_formation
[O]OC(C)OCCCC>>C=COCCCC.[O]O,[O]OC(C)OCCCC,C=COCCCC.[O]O,olefin_formation
[O]OC(C)(C)OCCCC>>C=C(C)OCCCC.[O]O,[O]OC(C)(C)OCCCC,C=C(C)OCCCC.[O]O,olefin_formation
[O]OC(C)OCCC(C)C>>C=COCCC(C)C.[O]O,[O]OC(C)OCCC(C)C,C=COCCC(C)C.[O]O,olefin_formation
[O]OC(C)(C)OCCC(C)C>>C=C(C)OCCC(C)C.[O]O,[O]OC(C)(C)OCCC(C)C,C=C(C)OCCC(C)C.[O]O,olefin_formation
[O]OCCOCCC>>C=COCCC.[O]O,[O]OCCOCCC,C=COCCC.[O]O,olefin_formation
[O]OC(C)COCCC>>C=CCOCCC.[O]O,[O]OC(C)COCCC,C=CCOCCC.[O]O,olefin_formation
[O]OC(C)COCCC>>CC=COCCC.[O]O,[O]OC(C)COCCC,CC=COCCC.[O]O,olefin_formation
[O]OCCOCC(C)C>>C=COCC(C)C.[O]O,[O]OCCOCC(C)C,C=COCC(C)C.[O]O,olefin_formation
[O]OC(C)(C)COCCC>>C=C(C)COCCC.[O]O,[O]OC(C)(C)COCCC,C=C(C)COCCC.[O]O,olefin_formation
[O]OC(C)(C)COCCC>>CCCOC=C(C)C.[O]O,[O]OC(C)(C)COCCC,CCCOC=C(C)C.[O]O,olefin_formation
[O]OC(C)COCC(C)C>>C=CCOCC(C)C.[O]O,[O]OC(C)COCC(C)C,C=CCOCC(C)C.[O]O,olefin_formation
[O]OC(C)COCC(C)C>>CC=COCC(C)C.[O]O,[O]OC(C)COCC(C)C,CC=COCC(C)C.[O]O,olefin_formation
[O]OC(C)(C)COCC(C)C>>CC(C)=COCC(C)C.[O]O,[O]OC(C)(C)COCC(C)C,CC(C)=COCC(C)C.[O]O,olefin_formation
[O]OC(C)(C)COCC(C)C>>C=C(C)COCC(C)C.[O]O,[O]OC(C)(C)COCC(C)C,C=C(C)COCC(C)C.[O]O,olefin_formation
[O]OCCCOC>>C=CCOC.[O]O,[O]OCCCOC,C=CCOC.[O]O,olefin_formation
[O]OC(C)CCOC>>CC=CCOC.[O]O,[O]OC(C)CCOC,CC=CCOC.[O]O,olefin_formation
[O]OC(C)CCOC>>C=CCCOC.[O]O,[O]OC(C)CCOC,C=CCCOC.[O]O,olefin_formation
[O]OCCCOCC>>C=CCOCC.[O]O,[O]OCCCOCC,C=CCOCC.[O]O,olefin_formation
[O]OC(C)CCOCC>>C=CCCOCC.[O]O,[O]OC(C)CCOCC,C=CCCOCC.[O]O,olefin_formation
[O]OC(C)CCOCC>>CC=CCOCC.[O]O,[O]OC(C)CCOCC,CC=CCOCC.[O]O,olefin_formation
[O]OCCCOC(C)C>>C=CCOC(C)C.[O]O,[O]OCCCOC(C)C,C=CCOC(C)C.[O]O,olefin_formation
[O]OC(C)(C)CCOC>>C=C(C)CCOC.[O]O,[O]OC(C)(C)CCOC,C=C(C)CCOC.[O]O,olefin_formation
